time,CH1
4.376,-0.0269775
4.38,-0.0256348
4.384,-0.0250244
4.388,-0.0248413
4.392,-0.0244141
4.396,-0.0233765
4.4,-0.0223999
4.404,-0.0219116
4.408,-0.0217896
4.412,-0.0211182
4.416,-0.0204468
4.42,-0.0194702
4.424,-0.019165
4.428,-0.0196533
4.432,-0.0198975
4.436,-0.0192261
4.44,-0.017334
4.444,-0.0159302
4.448,-0.0158081
4.452,-0.0167847
4.456,-0.017334
4.46,-0.0172119
4.464,-0.0157471
4.468,-0.0146484
4.472,-0.0145874
4.476,-0.0152588
4.48,-0.0161133
4.484,-0.0168457
4.488,-0.0172119
4.492,-0.0183716
4.496,-0.0174561
4.5,-0.0164185
4.504,-0.0150146
4.508,-0.0128784
4.512,-0.012146
4.516,-0.0133667
4.52,-0.0145264
4.524,-0.0161743
4.528,-0.0183716
4.532,-0.0200806
4.536,-0.0219727
4.54,-0.0219727
4.544,-0.020752
4.548,-0.0196533
4.552,-0.019165
4.556,-0.0202026
4.56,-0.022583
4.564,-0.0246582
4.568,-0.0269165
4.572,-0.027832
4.576,-0.0268555
4.58,-0.0250244
4.584,-0.0238037
4.588,-0.0234985
4.592,-0.0236816
4.596,-0.0231934
4.6,-0.024231
4.604,-0.0252075
4.608,-0.0270996
4.612,-0.0291748
4.616,-0.03125
4.62,-0.0324097
4.624,-0.0319824
4.628,-0.0307007
4.632,-0.0293579
4.636,-0.0282593
4.64,-0.0272827
4.644,-0.0271606
4.648,-0.0275269
4.652,-0.0285034
4.656,-0.0292969
4.66,-0.0296631
4.664,-0.0296631
4.668,-0.0292969
4.672,-0.0290527
4.676,-0.0292969
4.68,-0.0299683
4.684,-0.0300903
4.688,-0.0296631
4.692,-0.0270996
4.696,-0.0229492
4.7,-0.0195923
4.704,-0.0175781
4.708,-0.0158691
4.712,-0.0137329
4.716,-0.0118408
4.72,-0.00952148
4.724,-0.00830078
4.728,-0.00805664
4.732,-0.00683594
4.736,-0.00512695
4.74,-0.00311279
4.744,-0.00201416
4.748,-0.00250244
4.752,-0.00305176
4.756,-0.00323486
4.76,-0.00195312
4.764,0.00012207
4.768,0.00250244
4.772,0.00299072
4.776,0.00274658
4.78,0.000976562
4.784,-0.00128174
4.788,-0.00213623
4.792,-0.0012207
4.796,0.000427246
4.8,0.00231934
4.804,0.0020752
4.808,0.00262451
4.812,0.00335693
4.816,0.0043335
4.82,0.00506592
4.824,0.00567627
4.828,0.00549316
4.832,0.00463867
4.836,0.00323486
4.84,0.00231934
4.844,0.00213623
4.848,0.00335693
4.852,0.00543213
4.856,0.00756836
4.86,0.0088501
4.864,0.00921631
4.868,0.00921631
4.872,0.00805664
4.876,0.00720215
4.88,0.00622559
4.884,0.00610352
4.888,0.00689697
4.892,0.00830078
4.896,0.00994873
